key,message,link,reason,action
CAUAJM_E_00003,Could not allocate size[{0}]. Exiting.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00003.html,Allocation failure.,
CAUAJM_E_00006,Error to access api.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00006.html,Error to access api.,
CAUAJM_E_00017,Unable to determine class. Cannot continue.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00017.html,JNIEnv::IsInstanceOf() did not return a known class.,
CAUAJM_E_00020,Local error in attempt to send request. RC={0},http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00020.html,Local error in attempt to send request.,
CAUAJM_E_00023,Unable to copy file <{0}> to <{1}>,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00023.html,A copy file error has occurred.,Review messages that follow and take action as required.
CAUAJM_E_00025,Unable to read file <{0}>,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00025.html,A read file error has occurred.,Review messages that follow and take action as required.
CAUAJM_E_00035,Unable to open file <{0}>,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00035.html,An open file error has occurred.,Review messages that follow and take action as required.
CAUAJM_E_00036,"Function failed: <{0}> Errno: <{1,number,1}> Error: <{2}>",http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00036.html,An error has occurred performing the indicated operation.,Review the error information and take action as required.
CAUAJM_E_00039,Local error in send {0} request to the server.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00039.html,Local error in send AuthUser request to the server.,
CAUAJM_E_00040,Unable to create object: Invalid class.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00040.html,Unable to create object: Invalid class.,
CAUAJM_E_00042,Unable to create Response: Invalid class.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00042.html,Unable to create Response: Invalid class.,
CAUAJM_E_00045,Exceeded wait time for the UNIX function getaddrinfo. Hostname [{0}] was not resolved.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00045.html,All attempts to resolve the hostname have been exhausted.,Verify that the hostname can be resolved into a network IP address and is reachable over the network.
